N,P,K,temperature,humidity,ph,rainfall,label,N_P_ratio,P_K_ratio,N_K_ratio,total_NPK,temp_humidity,rainfall_ph,temp_sq,rainfall_sq,temp_bin,rain_bin,label_encoded
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,2.1428570918367362,0.9767441633315311,2.0930232071389954,175,1712.1962830390814,1319.6868071327337,435.96369739528456,41182.83185278151,1,1,20
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,1.4655172161117722,1.4146341118381924,2.073170681142179,184,1748.5957343980754,1595.2235129754392,473.95300219575773,51372.73263408279,1,2,20
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,1.0909090710743805,1.2499999715909098,1.3636363326446288,159,1893.7446273298856,2069.534379794105,529.2051407840187,69677.12401103412,1,2,20
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,2.1142856538775527,0.8749999781250006,1.8499999537500014,149,2123.4829079544807,1695.288324121631,701.7781858249833,58982.93910789877,1,2,20
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,1.8571428129251712,0.9999999761904769,1.8571428129251712,162,1642.720357036975,2004.1321099998663,405.22393828376204,69020.40099939292,0,2,20
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,1.8648648144631133,0.8809523599773248,1.6428571037414976,148,1922.352236179895,1775.8258677809742,531.6736107738935,63028.612924577996,1,2,20
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,1.2545454317355376,1.44736838296399,1.8157894259002785,162,1876.6450619256132,1546.770305293527,515.6913224018904,73617.17987107948,1,2,20
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,1.773584872196512,1.324999966875001,2.3499999412500014,187,1680.9050273750024,1383.7602073298087,411.18688631845066,58551.51099750318,0,2,20
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,1.6481481176268868,1.4210525941828265,2.3421052015235473,181,2047.9393937180864,1540.6129190983254,601.028404535362,53105.46764047845,1,2,20
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,1.1724137728894177,1.5263157493074804,1.789473637119115,164,1928.3614912692885,1401.6375466501652,539.3529618499633,48933.50830648274,1,2,20
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,1.716981099679602,1.324999966875001,2.2749999431250014,184,2159.782186434238,1425.2600874039572,703.6942036423062,70021.02926634798,1,2,20
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,1.9565216965973544,1.0952380691609984,2.1428570918367362,178,1953.1028678403572,1876.332977880693,574.9915859091778,62541.62372783217,1,2,20
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,1.3448275630202144,1.3181817882231412,1.7727272324380174,180,2167.831921462657,1453.0953456176678,718.2826683776798,80904.09790005098,1,2,20
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,1.660714256058674,1.5555555123456803,2.5833332615740763,185,1970.5938254448881,1294.0424600612753,576.7190828471655,34327.69230986545,1,1,20
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,1.8799999624000008,1.351351314828343,2.540540471877285,181,2070.306451433026,1456.214429228031,658.7359614524893,43926.698329120045,1,2,20
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,1.2499999739583338,1.2307691992110463,1.538461499013808,147,1949.8583733044302,1627.3790797164322,589.6200963094642,53400.89408508043,1,2,20
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,2.236842046398894,0.9268292456870916,2.073170681142179,164,1787.1623104460289,1728.8326458772362,466.0036536158497,76538.12508398943,1,2,20
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,2.599999925714288,0.8974358744247213,2.3333332735042753,165,1913.4636966543974,1437.8177968142784,566.150608503629,42543.676643865416,1,2,20
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,2.026315736149586,1.0555555262345688,2.1388888294753103,151,1753.4248975287219,1336.9855874136524,478.08926251570574,50424.9556149593,1,2,20
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,2.5142856424489817,0.8749999781250006,2.1999999450000014,163,1970.9485608373948,1705.2425811720911,555.9898143394029,84854.91036647084,1,2,20
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,1.9777777338271616,1.249999965277779,2.4722221535493847,170,1716.1276875876856,1195.0629032157224,454.7573983887289,34409.31256358472,1,1,20
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,1.8999999525000013,0.9302325365062202,1.7674418193618182,159,2091.0156032199475,1173.1591302296915,632.8975576746471,53538.70182961844,1,2,20
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,1.1355932010916407,1.4390243551457476,1.634146301606188,167,1777.1869471700752,1282.8317928488577,481.700102106256,45520.82203618369,1,2,20
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,2.0243901945270686,0.9534883499188757,1.9302325132504068,167,1740.5898493994537,1457.8614474702042,443.2092509787603,54339.14459940066,1,2,20
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,2.085106338614759,1.2702702359386424,2.648648577063552,182,1910.0007963239996,1652.5367951355618,551.4894936847246,50202.03952471595,1,2,20
